Date,Product Type,Marketplace,Cancelled,Returned,Sold,Royalty,Sold Types,Sold Sizes,Sold Colors,Front/Back Print
6/28/2024,SHIRT,GB,0,0,1,3.25,Men: 1,3xl: 1,Black: 1,back
6/28/2024,SHIRT,US,0,0,1,3.41,Men: 1,Small: 1,White: 1,front
6/28/2024,HOODIE,GB,0,0,1,3.43,Unisex: 1,Small: 1,Black: 1,back
6/28/2024,SHIRT,FR,0,0,1,3.43,Women: 1,Xs: 1,Navy: 1,front
6/28/2024,PhoneCase,DE,0,0,2,4.28,Phone Case Apple Iphone: 2,"12: 1,13: 1",Phone Case Apple Iphone: 2,front
6/28/2024,HOODIE,US,0,0,1,4.29,Unisex: 1,Medium: 1,Black: 1,front
6/28/2024,SHIRT,DE,0,0,1,3.33,Kids: 1,8:01,Asphalt: 1,front
6/27/2024,SHIRT,GB,0,0,2,6.5,Men: 2,2xl: 2,"Kelly Green: 1,Olive: 1",front
6/27/2024,SHIRT,US,0,0,4,1.8,"Men: 3,Women: 1","Large: 2,Small: 1,Xl: 1","Black: 2,White: 2",front
6/27/2024,SHIRT,ES,0,0,1,3.01,Men: 1,Xl: 1,Black: 1,back
6/27/2024,SHIRT,ES,0,1,0,-3.01,Men: 0,Small: 0,Asphalt: 0,front
6/27/2024,PhoneCase,DE,0,0,2,4.28,Phone Case Apple Iphone: 2,"11: 1,15: 1",Phone Case Apple Iphone: 2,front
6/27/2024,SHIRT,DE,0,0,3,9.99,Men: 3,"Xl: 2,Large: 1","Slate: 1,Asphalt: 1,Olive: 1",front
6/27/2024,ZIP_HOODIE,FR,0,0,1,2.98,Unisex: 1,Medium: 1,Black: 1,front
6/27/2024,SHIRT,US,0,0,1,3.41,Men: 1,Medium: 1,Black: 1,front
6/27/2024,SHIRT,FR,0,0,2,6.86,Men: 2,Medium: 2,"White: 1,Asphalt: 1",front
6/27/2024,PhoneCase,GB,0,0,1,2,Phone Case Apple Iphone: 1,12:01,Phone Case Apple Iphone: 1,front
6/27/2024,SHIRT,US,0,0,1,3.41,Women: 1,3xl: 1,Black: 1,front
